# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 2 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-5516
# Timestamp: Sat, 14-Feb-2026 09:46:28
Gene ID	Gene Name	'wounding' vs 'none' in 'Pseudomonas entomophila' at '3 hour' .foldChange	'wounding' vs 'none' in 'Pseudomonas entomophila' at '3 hour'.pValue	'wounding' vs 'none' in 'Pseudomonas entomophila' at '6 hour' .foldChange	'wounding' vs 'none' in 'Pseudomonas entomophila' at '6 hour'.pValue
FBgn0000008	a			-0.1	0.770954890185653
FBgn0000014	abd-A			-0.2	0.781165600379202
FBgn0000015	Abd-B	-0.1	0.899133787236024		
FBgn0000017	Abl	0.1	0.616210276426704	0.1	0.7665805802034
FBgn0000018	abo	-0.1	0.616050630235136	-0.2	0.462148538876627
FBgn0000024	Ace	0.8	6.44126040978227E-9	0.4	0.0650491208177816
FBgn0000028	acj6	0.2	0.563960730648842	-0.1	0.932490943037366
FBgn0000036	nAChRalpha1	0.5	0.0816989203923945	0.1	0.897863856860944
FBgn0000037	mAChR-A	0.4	0.195502621129282	0.1	0.920130158808245
FBgn0000038	nAChRbeta1	0.7	4.25557751464834E-4	0.1	0.875199925678213
FBgn0000039	nAChRalpha2	0.2	0.757627116984191	0.1	0.884777594428674
FBgn0000043	Act42A	0.2	0.182011698671121		
FBgn0000044	Act57B	0.4	0.024730967098431	-0.3	0.378562020170711
FBgn0000045	Act79B			-0.1	0.876999163785664
FBgn0000046	Act87E	0.1	0.635837400095476	-0.1	0.795228993967415
FBgn0000047	Act88F	0.5	0.0761474908290319	-0.5	0.00960369152983699
FBgn0000052	Pfas	0.2	0.343634844353408	0.1	0.583461717925687
FBgn0000053	Gart	0.7	7.70635745401698E-5	0.2	0.70887187799111
FBgn0000055	Adh	-0.3	0.50969359003363	-0.2	0.730014185867471
FBgn0000057	adp	-0.2	0.232811643279697		
FBgn0000063	Mps1	0.1	0.756182370701244		
FBgn0000064	Ald1	-0.1	0.674245985876638	-0.3	0.214322635822052
FBgn0000075	amd			-0.7	0.00727327222135349
FBgn0000077	amx			0.1	0.855081414074086
FBgn0000078	Amy-d			-0.2	0.721898696068635
FBgn0000079	Amy-p			-0.3	0.293530520625375
FBgn0000083	AnxB9	0.6	3.10203689105194E-12	0.6	5.13634387949121E-14
FBgn0000084	AnxB10	0.1	0.453015292739779	0.1	0.788039993743373
FBgn0000092	dyw			-0.1	0.920130158808245
FBgn0000100	RpLP0	-0.2	0.0500589715571212	-0.2	0.61826283504094
FBgn0000108	Appl	0.4	0.131354148663094		
FBgn0000109	Aprt			-0.1	0.820162361420307
FBgn0000114	bru1	-0.2	0.00924134631136919		
FBgn0000115	Arl1	-0.2	0.278488651528287	0.1	0.864203543346315
FBgn0000116	Argk			-0.1	0.55042586499751
FBgn0000117	arm	-0.1	0.623472810974015		
FBgn0000119	arr	0.2	0.364867713927403	0.1	0.902050372716537
FBgn0000120	Arr1	0.3	0.108779617947023	0.2	0.421901728711034
FBgn0000121	Arr2	0.3	0.0846427633008117	0.1	0.624998760165722
FBgn0000139	ash2	0.1	0.467437080858796		
FBgn0000146	aub	-0.1	0.750796060135186	-0.1	0.596055045275879
FBgn0000147	aurA			0.1	0.849764275502496
FBgn0000150	awd	-0.2	0.27715600465499	-0.1	0.710223447811914
FBgn0000152	Axs	0.2	0.552977128177014	-0.2	0.740135690099604
FBgn0000153	b	0.4	0.0506582813385997	0.3	0.260691311335556
